source,route_name,uri,controller,action,csv_menu_key,resolved_layer,resolved_menu_key,content_exists,csv_match,module
csv,admin.banks.index,admin/banks,BankController,index,master-data.banks,1,master-data.banks,no,yes,master-data
csv,admin.banks.audit,admin/banks/audit,BankController,audit,master-data.banks-audit,1,master-data.banks-audit,no,yes,master-data
csv,admin.banks.print,admin/banks/print,BankController,print,master-data.banks-print,1,master-data.banks-print,no,yes,master-data
csv,admin.branches.index,admin/branches,BranchController,index,master-data.branches,1,master-data.branches,no,yes,master-data
csv,admin.branches.audit,admin/branches/audit,BranchController,audit,master-data.branches-audit,1,master-data.branches-audit,no,yes,master-data
csv,admin.branches.print,admin/branches/print,BranchController,print,master-data.branches-print,1,master-data.branches-print,no,yes,master-data
csv,admin.customers.index,admin/customers,CustomerController,index,master-data.customers,1,master-data.customers,yes,yes,master-data
csv,admin.customers.audit,admin/customers/audit,CustomerController,audit,master-data.customers-audit,1,master-data.customers-audit,no,yes,master-data
csv,admin.customers.print,admin/customers/print,CustomerController,print,master-data.customers-print,1,master-data.customers-print,no,yes,master-data
csv,admin.employees.index,admin/employees,EmployeeController,index,master-data.employees,1,master-data.employees,no,yes,master-data
csv,admin.employees.account,admin/employees/{employee}/account,EmployeeController,account,master-data.employees-account,1,master-data.employees-account,no,yes,master-data
csv,admin.employees.audit,admin/employees/audit,EmployeeController,audit,master-data.employees-audit,1,master-data.employees-audit,no,yes,master-data
csv,admin.employees.print,admin/employees/print,EmployeeController,print,master-data.employees-print,1,master-data.employees-print,no,yes,master-data
csv,admin.ledgers.index,admin/ledgers,LedgerController,index,master-data.ledgers,1,master-data.ledgers,no,yes,master-data
csv,admin.ledgers.audit,admin/ledgers/audit,LedgerController,audit,master-data.ledgers-audit,1,master-data.ledgers-audit,no,yes,master-data
csv,admin.ledgers.print,admin/ledgers/print,LedgerController,print,master-data.ledgers-print,1,master-data.ledgers-print,no,yes,master-data
csv,admin.product-categories.index,admin/product-categories,ProductCategoryController,index,master-data.product-categories,1,master-data.product-categories,no,yes,master-data
csv,admin.product-categories.audit,admin/product-categories/audit,ProductCategoryController,audit,master-data.product-categories-audit,1,master-data.product-categories-audit,no,yes,master-data
csv,admin.product-groups.index,admin/product-groups,ProductGroupController,index,master-data.product-groups,1,master-data.product-groups,no,yes,master-data
csv,admin.product-groups.audit,admin/product-groups/audit,ProductGroupController,audit,master-data.product-groups-audit,1,master-data.product-groups-audit,no,yes,master-data
csv,admin.products.index,admin/products,ProductController,index,master-data.products,1,master-data.products,no,yes,master-data
csv,admin.products.audit,admin/products/audit,ProductController,audit,master-data.products-audit,1,master-data.products-audit,no,yes,master-data
csv,admin.products.priceHistory,admin/products/{product}/price-history,ProductController,priceHistory,master-data.products-price-history,1,master-data.products-price-history,no,yes,master-data
csv,admin.products.print,admin/products/print,ProductController,print,master-data.products-print,1,master-data.products-print,no,yes,master-data
csv,admin.suppliers.index,admin/suppliers,SupplierController,index,master-data.suppliers,1,master-data.suppliers,no,yes,master-data
csv,admin.suppliers.audit,admin/suppliers/audit,SupplierController,audit,master-data.suppliers-audit,1,master-data.suppliers-audit,no,yes,master-data
csv,admin.suppliers.print,admin/suppliers/print,SupplierController,print,master-data.suppliers-print,1,master-data.suppliers-print,no,yes,master-data
csv,admin.warehouses.index,admin/warehouses,WarehouseController,index,master-data.warehouses,1,master-data.warehouses,no,yes,master-data
csv,admin.warehouses.audit,admin/warehouses/audit,WarehouseController,audit,master-data.warehouses-audit,1,master-data.warehouses-audit,no,yes,master-data
csv,admin.warehouses.print,admin/warehouses/print,WarehouseController,print,master-data.warehouses-print,1,master-data.warehouses-print,no,yes,master-data
csv,admin.damages.index,admin/damages,DamageController,index,inventory.damages,1,inventory.damages,no,yes,inventory
